SKU,Store,Bin,Bin Rank
25442,400357,LD-AE-G3-D3-D5-10-B,34460
26597,400357,LD-AE-G3-D3-D5-12-A,34461
22531,400357,LD-AE-G3-D3-D5-12-E,34463
26597,400357,LD-AE-G3-D3-D5-11-E,34464
16530,400357,LD-AE-G3-D3-D5-11-D,34468
8229,400357,LD-AE-G3-D3-D5-14-C,34474
140382,400357,LD-AE-G3-D3-D5-14-E,34475
1935,400357,LD-AE-G3-D3-D5-13-A,34478
244132,400357,LD-AE-G3-D3-D5-13-F,34481
8796,400357,LD-AE-G3-D3-D5-14-B,34484
7020,400357,LD-AE-G3-D3-D5-14-B,34484
177711,400357,LD-AE-G3-D3-D5-15-E,34488
26737,400357,LD-AE-G3-D3-D5-15-E,34488
17096,400357,LD-AE-G3-D3-D5-15-F,34493
114041,400357,LD-AE-G3-D3-D5-16-F,34494
7010,400357,LD-AE-G3-D3-D5-16-F,34494
24484,400357,LD-AE-G3-D3-D5-16-B,34496
5999,400357,LD-AE-G3-D3-D5-18-C,34498
5999,400357,LD-AE-G3-D3-D5-18-C,34498
21204,400357,LD-AE-G3-D3-D5-18-C,34498
18117,400357,LD-AE-G3-D3-D5-18-E,34499
45516,400357,LD-AE-G3-D3-D5-18-E,34499
879,400357,LD-AE-G3-D3-D5-17-C,34501
91262,400357,LD-AE-G3-D3-D5-17-A,34502
162042,400357,LD-AE-G3-D3-D5-17-D,34504
17517,400357,LD-AE-G3-D3-D5-17-F,34505
18919,400357,LD-AE-G3-D3-D5-18-F,34506
167091,400357,LD-AE-G3-D3-D5-18-B,34508
38409,400357,LD-AF-G3-D3-D6-18-B,34509
19026,400357,LD-AF-G3-D3-D6-18-B,34509
145541,400357,LD-AF-G3-D3-D6-17-F,34512
145541,400357,LD-AF-G3-D3-D6-17-F,34512
20691,400357,LD-AF-G3-D3-D6-17-F,34512
14724,400357,LD-AF-G3-D3-D6-17-F,34512
17782,400357,LD-AF-G3-D3-D6-17-B,34514
124803,400357,LD-AF-G3-D3-D6-17-B,34514
8817,400357,LD-AF-G3-D3-D6-17-C,34516
13841,400357,LD-AF-G3-D3-D6-17-C,34516
8989,400357,LD-AF-G3-D3-D6-17-C,34516
22371,400357,LD-AF-G3-D3-D6-18-E,34518
26825,400357,LD-AF-G3-D3-D6-18-C,34519
10678,400357,LD-AF-G3-D3-D6-18-C,34519
7028,400357,LD-AF-G3-D3-D6-18-C,34519
7028,400357,LD-AF-G3-D3-D6-18-C,34519
12991,400357,LD-AF-G3-D3-D6-15-B,34526
20826,400357,LD-AF-G3-D3-D6-15-B,34526
25175,400357,LD-AF-G3-D3-D6-16-C,34531
194719,400357,LD-AF-G3-D3-D6-16-A,34532
3242,400357,LD-AF-G3-D3-D6-14-B,34533
20019,400357,LD-AF-G3-D3-D6-13-F,34536
26514,400357,LD-AF-G3-D3-D6-13-B,34538
13164,400357,LD-AF-G3-D3-D6-13-C,34540
214924,400357,LD-AF-G3-D3-D6-11-D,34549
7021,400357,LD-AF-G3-D3-D6-12-E,34554
8801,400357,LD-AF-G3-D3-D6-12-E,34554
24505,400357,LD-AF-G3-D3-D6-10-D,34558
15258,400357,LD-AF-G3-D3-D6-09-B,34562
253773,400357,LD-AF-G3-D3-D6-09-B,34562
253773,400357,LD-AF-G3-D3-D6-09-B,34562
3242,400357,LD-AF-G3-D3-D6-09-A,34563
121898,400357,LD-AF-G3-D3-D6-09-C,34564
26948,400357,LD-AF-G3-D3-D6-09-C,34564
26948,400357,LD-AF-G3-D3-D6-09-C,34564
20739,400357,LD-AF-G3-D3-D6-10-A,34568
51329,400357,LD-AF-G3-D3-D6-10-A,34568
86598,400357,LD-AF-G3-D3-D6-07-F,34572
19402,400357,LD-AF-G3-D3-D6-07-A,34575
7011,400357,LD-AF-G3-D3-D6-08-C,34579
7011,400357,LD-AF-G3-D3-D6-08-C,34579
44539,400357,LD-AF-G3-D3-D6-08-C,34579
256173,400357,LD-AF-G3-D3-D6-05-F,34584
121443,400357,LD-AF-G3-D3-D6-05-A,34587
123726,400357,LD-AF-G3-D3-D6-05-A,34587
51078,400357,LD-AF-G3-D3-D6-05-C,34588
51078,400357,LD-AF-G3-D3-D6-05-C,34588
22947,400357,LD-AF-G3-D3-D6-05-E,34589
167751,400357,LD-AF-G3-D3-D6-05-E,34589
15623,400357,LD-AF-G3-D3-D6-05-E,34589
254056,400357,LD-AF-G3-D3-D6-05-E,34589
254056,400357,LD-AF-G3-D3-D6-05-E,34589
8791,400357,LD-AF-G3-D3-D6-06-C,34591
6012,400357,LD-AF-G3-D3-D6-04-D,34594
251067,400357,LD-AF-G3-D3-D6-04-D,34594
25104,400357,LD-AF-G3-D3-D6-03-B,34598
16288,400357,LD-AF-G3-D3-D6-03-B,34598
202510,400357,LD-AF-G3-D3-D6-03-E,34601
13631,400357,LD-AF-G3-D3-D6-04-C,34603
259116,400357,LD-AF-G3-D3-D6-04-C,34603
141211,400357,LD-AF-G3-D3-D6-02-F,34607
180137,400357,LD-AF-G3-D3-D6-01-F,34608
30808,400357,LD-AF-G3-D3-D6-01-B,34610
114171,400357,LD-AF-G3-D3-D6-01-B,34610
11151,400357,LD-AF-G3-D3-D6-01-E,34613
171057,400357,LD-AF-G3-D3-D6-02-C,34615
238616,400357,LD-AF-G3-D3-D6-02-A,34616
138175,400357,LD-AF-G3-D3-D6-02-A,34616
16163,400357,LD-AG-G3-D3-D7-01-C,34618
222229,400357,LD-AG-G3-D3-D7-01-C,34618
40797,400357,LD-AG-G3-D3-D7-01-A,34619
18016,400357,LD-AG-G3-D3-D7-01-A,34619
170953,400357,LD-AG-G3-D3-D7-01-D,34621
214924,400357,LD-AG-G3-D3-D7-03-D,34627
214924,400357,LD-AG-G3-D3-D7-03-D,34627
7196,400357,LD-AG-G3-D3-D7-06-C,34630
21882,400357,LD-AG-G3-D3-D7-06-C,34630
25305,400357,LD-AG-G3-D3-D7-06-C,34630
155399,400357,LD-AG-G3-D3-D7-05-C,34633
49149,400357,LD-AG-G3-D3-D7-05-A,34634
213186,400357,LD-AG-G3-D3-D7-05-B,34635
5999,400357,LD-AG-G3-D3-D7-05-B,34635
5999,400357,LD-AG-G3-D3-D7-05-B,34635
19766,400357,LD-AG-G3-D3-D7-06-D,34639
112038,400357,LD-AG-G3-D3-D7-06-D,34639
270132,400357,LD-AG-G3-D3-D7-06-D,34639
13631,400357,LD-AG-G3-D3-D7-08-A,34641
7219,400357,LD-AG-G3-D3-D7-08-C,34642
16375,400357,LD-AG-G3-D3-D7-07-A,34646
22214,400357,LD-AG-G3-D3-D7-07-D,34648
142982,400357,LD-AG-G3-D3-D7-08-B,34652
107642,400357,LD-AG-G3-D3-D7-10-E,34655
20691,400357,LD-AG-G3-D3-D7-10-E,34655
214836,400357,LD-AG-G3-D3-D7-09-F,34661
214836,400357,LD-AG-G3-D3-D7-09-F,34661
56291,400357,LD-AG-G3-D3-D7-10-B,34664
12661,400357,LD-AG-G3-D3-D7-10-B,34664
22214,400357,LD-AG-G3-D3-D7-10-B,34664
21888,400357,LD-AG-G3-D3-D7-12-A,34665
14119,400357,LD-AG-G3-D3-D7-12-A,34665
17366,400357,LD-AG-G3-D3-D7-11-A,34670
264027,400357,LD-AG-G3-D3-D7-11-D,34672
25739,400357,LD-AG-G3-D3-D7-13-C,34681
262777,400357,LD-AG-G3-D3-D7-15-D,34696
118062,400357,LD-AG-G3-D3-D7-18-E,34703
18234,400357,LD-AG-G3-D3-D7-18-E,34703
260250,400357,LD-AG-G3-D3-D7-17-B,34707
12405,400357,LD-AG-G3-D3-D7-18-D,34711
34473,400357,LD-AG-G3-D3-D7-18-D,34711
18485,400357,LD-AH-G3-D3-D8-17-F,34716
8803,400357,LD-AH-G3-D3-D8-17-D,34717
14724,400357,LD-AH-G3-D3-D8-17-D,34717
110543,400357,LD-AH-G3-D3-D8-17-D,34717
15083,400357,LD-AH-G3-D3-D8-17-D,34717
182476,400357,LD-AH-G3-D3-D8-17-B,34718
39032,400357,LD-AH-G3-D3-D8-17-C,34720
74176,400357,LD-AH-G3-D3-D8-17-E,34721
74176,400357,LD-AH-G3-D3-D8-17-E,34721
15649,400357,LD-AH-G3-D3-D8-18-C,34723
10721,400357,LD-AH-G3-D3-D8-18-C,34723
18485,400357,LD-AH-G3-D3-D8-18-A,34724
18485,400357,LD-AH-G3-D3-D8-18-A,34724
8306,400357,LD-AH-G3-D3-D8-18-A,34724
189236,400357,LD-AH-G3-D3-D8-16-B,34725
219776,400357,LD-AH-G3-D3-D8-16-B,34725
219776,400357,LD-AH-G3-D3-D8-16-B,34725
22767,400357,LD-AH-G3-D3-D8-16-F,34727
22767,400357,LD-AH-G3-D3-D8-16-F,34727
217822,400357,LD-AH-G3-D3-D8-15-F,34728
12950,400357,LD-AH-G3-D3-D8-15-D,34729
156798,400357,LD-AH-G3-D3-D8-15-D,34729
12950,400357,LD-AH-G3-D3-D8-15-D,34729
103076,400357,LD-AH-G3-D3-D8-15-C,34732
103076,400357,LD-AH-G3-D3-D8-15-C,34732
90227,400357,LD-AH-G3-D3-D8-15-C,34732
8752,400357,LD-AH-G3-D3-D8-16-C,34735
8752,400357,LD-AH-G3-D3-D8-16-C,34735
24021,400357,LD-AH-G3-D3-D8-16-C,34735
7020,400357,LD-AH-G3-D3-D8-16-A,34736
197972,400357,LD-AH-G3-D3-D8-16-A,34736
23295,400357,LD-AH-G3-D3-D8-14-D,34738
56563,400357,LD-AH-G3-D3-D8-13-D,34741
22274,400357,LD-AH-G3-D3-D8-13-D,34741
3422,400357,LD-AH-G3-D3-D8-13-A,34743
25946,400357,LD-AH-G3-D3-D8-13-C,34744
234938,400357,LD-AH-G3-D3-D8-13-E,34745
14687,400357,LD-AH-G3-D3-D8-13-E,34745
14809,400357,LD-AH-G3-D3-D8-13-E,34745
105049,400357,LD-AH-G3-D3-D8-13-E,34745
207343,400357,LD-AH-G3-D3-D8-14-C,34747
98450,400357,LD-AH-G3-D3-D8-14-C,34747
98450,400357,LD-AH-G3-D3-D8-14-C,34747
135250,400357,LD-AH-G3-D3-D8-14-C,34747
25946,400357,LD-AH-G3-D3-D8-14-A,34748
146873,400357,LD-AH-G3-D3-D8-14-A,34748
144772,400357,LD-AH-G3-D3-D8-12-F,34751
259322,400357,LD-AH-G3-D3-D8-12-F,34751
218036,400357,LD-AH-G3-D3-D8-12-F,34751
61626,400357,LD-AH-G3-D3-D8-12-F,34751
22556,400357,LD-AH-G3-D3-D8-12-F,34751
22556,400357,LD-AH-G3-D3-D8-12-F,34751
61626,400357,LD-AH-G3-D3-D8-12-F,34751
13530,400357,LD-AH-G3-D3-D8-11-F,34752
13530,400357,LD-AH-G3-D3-D8-11-F,34752
262503,400357,LD-AH-G3-D3-D8-11-D,34753
42180,400357,LD-AH-G3-D3-D8-11-B,34754
42180,400357,LD-AH-G3-D3-D8-11-B,34754
16285,400357,LD-AH-G3-D3-D8-11-A,34755
180704,400357,LD-AH-G3-D3-D8-11-A,34755
177937,400357,LD-AH-G3-D3-D8-10-B,34761
138721,400357,LD-AH-G3-D3-D8-10-B,34761
261332,400357,LD-AH-G3-D3-D8-10-D,34762
81477,400357,LD-AH-G3-D3-D8-10-D,34762
123443,400357,LD-AH-G3-D3-D8-10-F,34763
130808,400357,LD-AH-G3-D3-D8-10-F,34763
111491,400357,LD-AH-G3-D3-D8-09-D,34765
18595,400357,LD-AH-G3-D3-D8-09-E,34769
157762,400357,LD-AH-G3-D3-D8-10-A,34772
24352,400357,LD-AH-G3-D3-D8-10-A,34772
24352,400357,LD-AH-G3-D3-D8-10-A,34772
183629,400357,LD-AH-G3-D3-D8-08-D,34774
8791,400357,LD-AH-G3-D3-D8-07-F,34776
237245,400357,LD-AH-G3-D3-D8-07-D,34777
237245,400357,LD-AH-G3-D3-D8-07-D,34777
237245,400357,LD-AH-G3-D3-D8-07-D,34777
11931,400357,LD-AH-G3-D3-D8-07-B,34778
23592,400357,LD-AH-G3-D3-D8-07-B,34778
83717,400357,LD-AH-G3-D3-D8-07-B,34778
242317,400357,LD-AH-G3-D3-D8-07-A,34779
160863,400357,LD-AH-G3-D3-D8-07-A,34779
121443,400357,LD-AH-G3-D3-D8-07-A,34779
8729,400357,LD-AH-G3-D3-D8-07-C,34780
102852,400357,LD-AH-G3-D3-D8-08-E,34782
102852,400357,LD-AH-G3-D3-D8-08-E,34782
17437,400357,LD-AH-G3-D3-D8-08-C,34783
154598,400357,LD-AH-G3-D3-D8-08-A,34784
182543,400357,LD-AH-G3-D3-D8-08-A,34784
260072,400357,LD-AH-G3-D3-D8-06-B,34785
7022,400357,LD-AH-G3-D3-D8-06-B,34785
