SKU,Store,Bin,Bin Rank
211676,398693,PL-AC-G0-A0-A3-06-A,577
211676,398693,PL-AC-G0-A0-A3-06-A,577
479,398693,PL-AC-G0-A0-A3-06-D,580
133,398693,PL-AC-G0-A0-A3-08-D,586
133,398693,PL-AC-G0-A0-A3-08-D,586
4043,398693,PL-AC-G0-A0-A3-08-D,586
764,398693,PL-AC-G0-A0-A3-08-D,586
