SKU,Store,Bin,Bin Rank
45309,401371,PL-AC-G0-C0-C3-12-A,18181
45309,401371,PL-AC-G0-C0-C3-12-A,18181
7448,401371,PL-AC-G0-C0-C3-12-D,18184
4203,401371,PL-AD-G0-C0-C4-16-A,18195
22549,401371,PL-AD-G0-C0-C4-14-A,18201
9816,401371,PL-AD-G0-C0-C4-08-A,18219
4700,401371,PL-AD-G0-C0-C4-06-D,18228
96279,401371,PL-AE-G0-C0-C5-02-A,18241
494,401371,PL-AE-G0-C0-C5-02-A,18241
