SKU,Store,Bin,Bin Rank
20336,397205,LD-AB-G2-A2-A2-05-F,0
38442,397205,LD-AB-G2-A2-A2-05-F,0
14859,397205,LD-AB-G2-A2-A2-06-D,0
12116,397205,LD-AB-G2-A2-A2-05-C,0
89425,397205,LD-AC-G2-A2-A3-05-C,0
24888,397205,LD-AB-G2-A2-A2-06-E,0
209708,397205,LD-AC-G2-A2-A3-05-A,0
22406,397205,LD-AA-G2-A2-A1-06-D,0
209708,397205,LD-AC-G2-A2-A3-05-F,0
4626,397205,LD-AB-G2-A2-A2-06-C,0
8439,397205,LD-AA-G2-A2-A1-06-C,0
3388,397205,LD-AC-G2-A2-A3-05-A,0
25295,397205,LD-AA-G2-A2-A1-06-B,0
22988,397205,LD-AC-G2-A2-A3-05-D,0
511,397205,LD-AA-G2-A2-A1-06-C,0
147079,397205,LD-AA-G2-A2-A1-06-E,0
12684,397205,LD-AA-G2-A2-A1-06-E,0
250635,397205,LD-AC-G2-A2-A3-05-D,0
250635,397205,LD-AC-G2-A2-A3-05-F,0
251803,397205,LD-AA-G2-A2-A1-08-A,3565
24609,397205,LD-AA-G2-A2-A1-08-C,3567
8633,397205,LD-AA-G2-A2-A1-08-C,3567
25739,397205,LD-AA-G2-A2-A1-08-D,3568
24975,397205,LD-AA-G2-A2-A1-08-E,3569
24975,397205,LD-AA-G2-A2-A1-08-E,3569
42845,397205,LD-AA-G2-A2-A1-10-A,3571
42845,397205,LD-AA-G2-A2-A1-10-A,3571
172239,397205,LD-AA-G2-A2-A1-10-B,3572
12403,397205,LD-AA-G2-A2-A1-10-B,3572
95279,397205,LD-AA-G2-A2-A1-10-C,3573
7199,397205,LD-AA-G2-A2-A1-10-D,3574
110210,397205,LD-AA-G2-A2-A1-10-E,3575
110210,397205,LD-AA-G2-A2-A1-10-E,3575
172239,397205,LD-AA-G2-A2-A1-10-F,3576
251803,397205,LD-AA-G2-A2-A1-12-B,3578
7199,397205,LD-AA-G2-A2-A1-12-C,3579
38104,397205,LD-AA-G2-A2-A1-12-C,3579
249433,397205,LD-AA-G2-A2-A1-12-C,3579
22744,397205,LD-AA-G2-A2-A1-12-C,3579
206875,397205,LD-AA-G2-A2-A1-12-D,3580
52362,397205,LD-AA-G2-A2-A1-12-E,3581
91114,397205,LD-AA-G2-A2-A1-12-F,3582
5408,397205,LD-AA-G2-A2-A1-14-A,3583
249433,397205,LD-AA-G2-A2-A1-14-D,3586
133576,397205,LD-AA-G2-A2-A1-16-B,3590
137649,397205,LD-AA-G2-A2-A1-16-B,3590
11828,397205,LD-AA-G2-A2-A1-16-C,3591
97158,397205,LD-AA-G2-A2-A1-16-C,3591
138079,397205,LD-AA-G2-A2-A1-16-C,3591
7063,397205,LD-AA-G2-A2-A1-16-C,3591
7063,397205,LD-AA-G2-A2-A1-16-C,3591
7063,397205,LD-AA-G2-A2-A1-16-C,3591
95279,397205,LD-AA-G2-A2-A1-16-D,3592
67504,397205,LD-AB-G2-A2-A2-15-A,3595
198079,397205,LD-AB-G2-A2-A2-15-C,3597
3971,397205,LD-AB-G2-A2-A2-15-D,3598
24340,397205,LD-AB-G2-A2-A2-15-E,3599
112510,397205,LD-AB-G2-A2-A2-15-E,3599
118539,397205,LD-AB-G2-A2-A2-16-A,3601
219407,397205,LD-AB-G2-A2-A2-16-A,3601
219407,397205,LD-AB-G2-A2-A2-16-A,3601
11826,397205,LD-AB-G2-A2-A2-16-C,3603
927,397205,LD-AB-G2-A2-A2-13-A,3607
9648,397205,LD-AB-G2-A2-A2-13-C,3609
162115,397205,LD-AB-G2-A2-A2-13-C,3609
11528,397205,LD-AB-G2-A2-A2-13-E,3611
219407,397205,LD-AB-G2-A2-A2-13-F,3612
12403,397205,LD-AB-G2-A2-A2-14-B,3614
17962,397205,LD-AB-G2-A2-A2-14-C,3615
1941,397205,LD-AB-G2-A2-A2-14-D,3616
3970,397205,LD-AB-G2-A2-A2-14-E,3617
188448,397205,LD-AB-G2-A2-A2-14-E,3617
1941,397205,LD-AB-G2-A2-A2-14-F,3618
13654,397205,LD-AB-G2-A2-A2-12-B,3626
12162,397205,LD-AB-G2-A2-A2-12-D,3628
22869,397205,LD-AB-G2-A2-A2-12-D,3628
4952,397205,LD-AB-G2-A2-A2-12-F,3630
93429,397205,LD-AB-G2-A2-A2-12-F,3630
136076,397205,LD-AB-G2-A2-A2-09-B,3632
2862,397205,LD-AB-G2-A2-A2-09-C,3633
44570,397205,LD-AB-G2-A2-A2-09-D,3634
38104,397205,LD-AB-G2-A2-A2-09-E,3635
38104,397205,LD-AB-G2-A2-A2-09-E,3635
14859,397205,LD-AB-G2-A2-A2-09-F,3636
723,397205,LD-AB-G2-A2-A2-10-C,3639
18105,397205,LD-AB-G2-A2-A2-10-D,3640
185440,397205,LD-AB-G2-A2-A2-10-D,3640
6134,397205,LD-AB-G2-A2-A2-10-F,3642
13684,397205,LD-AB-G2-A2-A2-10-F,3642
253620,397205,LD-AB-G2-A2-A2-07-A,3643
11532,397205,LD-AB-G2-A2-A2-07-B,3644
54221,397205,LD-AB-G2-A2-A2-07-C,3645
1941,397205,LD-AB-G2-A2-A2-07-D,3646
1941,397205,LD-AB-G2-A2-A2-07-D,3646
26314,397205,LD-AB-G2-A2-A2-08-B,3650
4107,397205,LD-AC-G2-A2-A3-02-A,3651
3385,397205,LD-AC-G2-A2-A3-02-A,3651
232026,397205,LD-AC-G2-A2-A3-02-A,3651
188448,397205,LD-AB-G2-A2-A2-08-C,3652
11828,397205,LD-AC-G2-A2-A3-02-B,3653
11828,397205,LD-AB-G2-A2-A2-08-D,3654
1184,397205,LD-AB-G2-A2-A2-08-D,3654
1184,397205,LD-AB-G2-A2-A2-08-D,3654
7362,397205,LD-AB-G2-A2-A2-08-D,3654
132954,397205,LD-AB-G2-A2-A2-08-D,3654
7466,397205,LD-AB-G2-A2-A2-08-D,3654
8549,397205,LD-AC-G2-A2-A3-02-C,3655
28707,397205,LD-AC-G2-A2-A3-02-C,3655
3381,397205,LD-AC-G2-A2-A3-02-C,3655
12116,397205,LD-AB-G2-A2-A2-08-E,3656
12116,397205,LD-AB-G2-A2-A2-08-E,3656
19671,397205,LD-AC-G2-A2-A3-02-D,3657
15759,397205,LD-AC-G2-A2-A3-02-D,3657
7466,397205,LD-AB-G2-A2-A2-08-F,3658
5405,397205,LD-AC-G2-A2-A3-04-A,3661
10447,397205,LD-AC-G2-A2-A3-04-B,3662
1851,397205,LD-AC-G2-A2-A3-04-D,3664
36269,397205,LD-AC-G2-A2-A3-04-D,3664
20686,397205,LD-AC-G2-A2-A3-04-D,3664
14283,397205,LD-AC-G2-A2-A3-04-D,3664
76751,397205,LD-AC-G2-A2-A3-04-E,3665
5405,397205,LD-AC-G2-A2-A3-04-E,3665
5405,397205,LD-AC-G2-A2-A3-04-E,3665
7781,397205,LD-AC-G2-A2-A3-06-A,3667
7781,397205,LD-AC-G2-A2-A3-06-A,3667
17890,397205,LD-AC-G2-A2-A3-06-A,3667
251803,397205,LD-AC-G2-A2-A3-06-A,3667
13791,397205,LD-AC-G2-A2-A3-06-A,3667
112974,397205,LD-AC-G2-A2-A3-06-B,3668
232026,397205,LD-AC-G2-A2-A3-06-B,3668
209708,397205,LD-AC-G2-A2-A3-06-C,3669
927,397205,LD-AC-G2-A2-A3-06-C,3669
555,397205,LD-AC-G2-A2-A3-06-D,3670
1851,397205,LD-AC-G2-A2-A3-06-E,3671
156232,397205,LD-AC-G2-A2-A3-06-F,3672
11900,397205,LD-AC-G2-A2-A3-06-F,3672
256831,397205,LD-AC-G2-A2-A3-06-F,3672
251803,397205,LD-AC-G2-A2-A3-07-A,3673
182821,397205,LD-AC-G2-A2-A3-07-B,3674
14859,397205,LD-AC-G2-A2-A3-07-B,3674
251803,397205,LD-AC-G2-A2-A3-07-C,3675
10447,397205,LD-AC-G2-A2-A3-07-C,3675
3618,397205,LD-AC-G2-A2-A3-07-D,3676
144723,397205,LD-AC-G2-A2-A3-07-F,3678
123130,397205,LD-AC-G2-A2-A3-08-A,3679
11515,397205,LD-AC-G2-A2-A3-08-B,3680
11515,397205,LD-AC-G2-A2-A3-08-B,3680
54221,397205,LD-AC-G2-A2-A3-08-B,3680
8348,397205,LD-AC-G2-A2-A3-08-C,3681
8348,397205,LD-AC-G2-A2-A3-08-C,3681
8348,397205,LD-AC-G2-A2-A3-08-C,3681
36269,397205,LD-AC-G2-A2-A3-08-C,3681
72371,397205,LD-AC-G2-A2-A3-08-D,3682
22988,397205,LD-AC-G2-A2-A3-08-E,3683
2888,397205,LD-AC-G2-A2-A3-09-A,3685
2888,397205,LD-AC-G2-A2-A3-09-A,3685
240577,397205,LD-AC-G2-A2-A3-09-A,3685
22912,397205,LD-AC-G2-A2-A3-09-B,3686
133745,397205,LD-AC-G2-A2-A3-09-D,3688
23307,397205,LD-AC-G2-A2-A3-09-F,3690
49090,397205,LD-AC-G2-A2-A3-09-F,3690
3382,397205,LD-AC-G2-A2-A3-09-F,3690
3382,397205,LD-AC-G2-A2-A3-09-F,3690
234674,397205,LD-AC-G2-A2-A3-10-A,3691
145439,397205,LD-AC-G2-A2-A3-10-B,3692
7781,397205,LD-AC-G2-A2-A3-10-C,3693
96707,397205,LD-AC-G2-A2-A3-10-E,3695
259880,397205,LD-AC-G2-A2-A3-10-F,3696
203494,397205,LD-AC-G2-A2-A3-11-A,3697
12116,397205,LD-AC-G2-A2-A3-11-B,3698
3651,397205,LD-AC-G2-A2-A3-11-C,3699
6958,397205,LD-AC-G2-A2-A3-11-C,3699
13628,397205,LD-AC-G2-A2-A3-11-D,3700
4999,397205,LD-AC-G2-A2-A3-11-D,3700
265698,397205,LD-AC-G2-A2-A3-11-F,3702
259880,397205,LD-AC-G2-A2-A3-12-A,3703
50345,397205,LD-AC-G2-A2-A3-12-D,3706
24888,397205,LD-AC-G2-A2-A3-12-E,3707
222682,397205,LD-AC-G2-A2-A3-13-A,3709
222682,397205,LD-AC-G2-A2-A3-13-A,3709
522,397205,LD-AC-G2-A2-A3-13-B,3710
139192,397205,LD-AC-G2-A2-A3-13-C,3711
3383,397205,LD-AC-G2-A2-A3-13-D,3712
498,397205,LD-AC-G2-A2-A3-13-D,3712
4999,397205,LD-AC-G2-A2-A3-13-E,3713
206875,397205,LD-AC-G2-A2-A3-14-A,3715
25756,397205,LD-AC-G2-A2-A3-14-B,3716
3385,397205,LD-AC-G2-A2-A3-14-B,3716
919,397205,LD-AC-G2-A2-A3-14-D,3718
498,397205,LD-AC-G2-A2-A3-14-D,3718
498,397205,LD-AC-G2-A2-A3-14-D,3718
498,397205,LD-AC-G2-A2-A3-14-D,3718
264471,397205,LD-AC-G2-A2-A3-14-E,3719
5443,397205,LD-AC-G2-A2-A3-14-F,3720
6995,397205,LD-AC-G2-A2-A3-15-A,3721
12116,397205,LD-AC-G2-A2-A3-15-B,3722
12116,397205,LD-AC-G2-A2-A3-15-B,3722
12116,397205,LD-AC-G2-A2-A3-15-B,3722
2320,397205,LD-AC-G2-A2-A3-15-C,3723
401,397205,LD-AC-G2-A2-A3-15-C,3723
401,397205,LD-AC-G2-A2-A3-15-C,3723
12116,397205,LD-AC-G2-A2-A3-15-F,3726
12116,397205,LD-AC-G2-A2-A3-15-F,3726
22744,397205,LD-AC-G2-A2-A3-16-A,3727
17962,397205,LD-AC-G2-A2-A3-16-C,3729
7323,397205,LD-AD-G2-A2-A4-15-A,3733
268672,397205,LD-AD-G2-A2-A4-15-B,3734
112974,397205,LD-AD-G2-A2-A4-15-E,3737
5438,397205,LD-AD-G2-A2-A4-15-E,3737
265216,397205,LD-AD-G2-A2-A4-15-E,3737
2475,397205,LD-AD-G2-A2-A4-15-E,3737
2475,397205,LD-AD-G2-A2-A4-15-E,3737
13684,397205,LD-AD-G2-A2-A4-15-E,3737
112974,397205,LD-AD-G2-A2-A4-15-F,3738
1185,397205,LD-AD-G2-A2-A4-15-F,3738
89960,397205,LD-AD-G2-A2-A4-15-F,3738
9429,397205,LD-AD-G2-A2-A4-15-F,3738
265216,397205,LD-AD-G2-A2-A4-16-B,3740
5438,397205,LD-AD-G2-A2-A4-16-D,3742
5438,397205,LD-AD-G2-A2-A4-16-D,3742
97158,397205,LD-AD-G2-A2-A4-16-E,3743
123130,397205,LD-AD-G2-A2-A4-13-A,3745
