SKU,Store,Bin,Bin Rank
4700,394957,PL-AA-G0-B0-B1-14-D,9386
4193,394957,PL-AA-G0-C0-C1-06-D,18116
54,394957,PL-AA-G0-C0-C1-06-D,18116
684,394957,PL-AA-G0-C0-C1-08-D,18120
13068,394957,PL-AB-G0-C0-C2-06-A,18139
1989,394957,PL-AB-G0-C0-C2-06-A,18139
1989,394957,PL-AB-G0-C0-C2-06-A,18139
1989,394957,PL-AB-G0-C0-C2-06-A,18139
1989,394957,PL-AB-G0-C0-C2-06-A,18139
1989,394957,PL-AB-G0-C0-C2-06-A,18139
1989,394957,PL-AB-G0-C0-C2-06-A,18139
1989,394957,PL-AB-G0-C0-C2-06-A,18139
1989,394957,PL-AB-G0-C0-C2-06-A,18139
99883,394957,PL-AB-G0-C0-C2-06-D,18142
99883,394957,PL-AB-G0-C0-C2-06-D,18142
99883,394957,PL-AB-G0-C0-C2-06-D,18142
99883,394957,PL-AB-G0-C0-C2-06-D,18142
1876,394957,PL-AB-G0-C0-C2-08-A,18145
3996,394957,PL-AB-G0-C0-C2-10-D,18154
