SKU,Store,Bin,Bin Rank
95788,401063,LD-AF-G1-B1-B6-06-C,11884
95788,401063,LD-AF-G1-B1-B6-06-C,11884
267805,401063,LD-AF-G1-B1-B6-05-E,11886
18916,401063,LD-AF-G1-B1-B6-05-A,11888
22397,401063,LD-AF-G1-B1-B6-03-B,11889
1663,401063,LD-AF-G1-B1-B6-03-B,11889
833,401063,LD-AF-G1-B1-B6-03-B,11889
6718,401063,LD-AF-G1-B1-B6-03-B,11889
2499,401063,LD-AF-G1-B1-B6-03-D,11890
1821,401063,LD-AF-G1-B1-B6-04-F,11892
127333,401063,LD-AF-G1-B1-B6-04-B,11894
127333,401063,LD-AF-G1-B1-B6-04-B,11894
95788,401063,LD-AF-G1-B1-B6-04-B,11894
95788,401063,LD-AF-G1-B1-B6-04-B,11894
95788,401063,LD-AF-G1-B1-B6-04-B,11894
2364,401063,LD-AF-G1-B1-B6-04-A,11895
6749,401063,LD-AF-G1-B1-B6-04-C,11896
2515,401063,LD-AF-G1-B1-B6-04-C,11896
205653,401063,LD-AF-G1-B1-B6-04-E,11897
205653,401063,LD-AF-G1-B1-B6-04-E,11897
6748,401063,LD-AF-G1-B1-B6-03-E,11898
4131,401063,LD-AF-G1-B1-B6-03-C,11899
4052,401063,LD-AF-G1-B1-B6-03-C,11899
1663,401063,LD-AF-G1-B1-B6-03-C,11899
13671,401063,LD-AF-G1-B1-B6-03-C,11899
257862,401063,LD-AF-G1-B1-B6-03-A,11900
257862,401063,LD-AF-G1-B1-B6-03-A,11900
257862,401063,LD-AF-G1-B1-B6-03-A,11900
158361,401063,LD-AF-G1-B1-B6-01-B,11901
16716,401063,LD-AF-G1-B1-B6-01-D,11902
98145,401063,LD-AF-G1-B1-B6-01-D,11902
98145,401063,LD-AF-G1-B1-B6-01-D,11902
89612,401063,LD-AF-G1-B1-B6-01-D,11902
6718,401063,LD-AF-G1-B1-B6-01-D,11902
257427,401063,LD-AF-G1-B1-B6-01-F,11903
6719,401063,LD-AF-G1-B1-B6-01-F,11903
269098,401063,LD-AF-G1-B1-B6-01-F,11903
102832,401063,LD-AF-G1-B1-B6-01-F,11903
102832,401063,LD-AF-G1-B1-B6-01-F,11903
9815,401063,LD-AF-G1-B1-B6-01-F,11903
260958,401063,LD-AF-G1-B1-B6-02-F,11904
19178,401063,LD-AF-G1-B1-B6-02-F,11904
2488,401063,LD-AF-G1-B1-B6-02-F,11904
226064,401063,LD-AF-G1-B1-B6-02-D,11905
689,401063,LD-AF-G1-B1-B6-02-B,11906
833,401063,LD-AF-G1-B1-B6-02-A,11907
3563,401063,LD-AF-G1-B1-B6-02-C,11908
95,401063,LD-AF-G1-B1-B6-02-E,11909
504,401063,LD-AF-G1-B1-B6-02-E,11909
54164,401063,LD-AF-G1-B1-B6-02-E,11909
2343,401063,LD-AF-G1-B1-B6-01-E,11910
15301,401063,LD-AF-G1-B1-B6-01-C,11911
257862,401063,LD-AF-G1-B1-B6-01-C,11911
942,401063,LD-AF-G1-B1-B6-01-C,11911
942,401063,LD-AF-G1-B1-B6-01-C,11911
942,401063,LD-AF-G1-B1-B6-01-C,11911
12247,401063,LD-AF-G1-B1-B6-01-A,11912
