SKU,Store,Bin,Bin Rank
13583,398939,GOLD-SILVER-01,266
13583,398939,GOLD-SILVER-01,266
17339,398939,GOLD-SILVER-03,48086
77005,398939,GOLD-01,48091
116809,398939,GOLD-02,48092
