SKU,Store,Bin,Bin Rank
5438,395106,LD-AI-G2-A2-A9-02-A,4141
2862,395106,LD-AI-G2-A2-A9-02-E,4145
11828,395106,LD-AI-G2-A2-A9-02-F,4146
210173,395106,LD-AI-G2-A2-A9-03-A,4147
101300,395106,LD-AI-G2-A2-A9-03-A,4147
229738,395106,LD-AI-G2-A2-A9-03-B,4148
158576,395106,LD-AI-G2-A2-A9-03-C,4149
9027,395106,LD-AI-G2-A2-A9-03-D,4150
77154,395106,LD-AI-G2-A2-A9-03-F,4152
7612,395106,LD-AI-G2-A2-A9-04-A,4153
3619,395106,LD-AI-G2-A2-A9-04-A,4153
508,395106,LD-AI-G2-A2-A9-04-B,4154
11900,395106,LD-AI-G2-A2-A9-04-B,4154
6995,395106,LD-AI-G2-A2-A9-04-B,4154
734,395106,LD-AI-G2-A2-A9-04-B,4154
198,395106,LD-AI-G2-A2-A9-04-C,4155
4107,395106,LD-AI-G2-A2-A9-04-D,4156
927,395106,LD-AI-G2-A2-A9-04-E,4157
1925,395106,LD-AI-G2-A2-A9-05-A,4159
2521,395106,LD-AI-G2-A2-A9-05-F,4164
9429,395106,LD-AI-G2-A2-A9-05-F,4164
225939,395106,LD-AI-G2-A2-A9-06-D,4168
216,395106,LD-AI-G2-A2-A9-06-D,4168
598,395106,LD-AI-G2-A2-A9-06-E,4169
598,395106,LD-AI-G2-A2-A9-06-E,4169
6048,395106,LD-AI-G2-A2-A9-06-F,4170
598,395106,LD-AI-G2-A2-A9-06-F,4170
238226,395106,LD-AI-G2-A2-A9-07-D,4174
119376,395106,LD-AI-G2-A2-A9-07-D,4174
4626,395106,LD-AI-G2-A2-A9-07-E,4175
3618,395106,LD-AI-G2-A2-A9-07-F,4176
136562,395106,LD-AI-G2-A2-A9-08-A,4177
136562,395106,LD-AI-G2-A2-A9-08-A,4177
136562,395106,LD-AI-G2-A2-A9-08-A,4177
6992,395106,LD-AI-G2-A2-A9-08-B,4178
13791,395106,LD-AI-G2-A2-A9-08-B,4178
148775,395106,LD-AI-G2-A2-A9-08-C,4179
90,395106,LD-AI-G2-A2-A9-08-C,4179
598,395106,LD-AI-G2-A2-A9-08-E,4181
68313,395106,LD-AI-G2-A2-A9-09-B,4184
86659,395106,LD-AI-G2-A2-A9-09-B,4184
58148,395106,LD-AI-G2-A2-A9-09-E,4187
86659,395106,LD-AI-G2-A2-A9-10-B,4190
86659,395106,LD-AI-G2-A2-A9-10-B,4190
13654,395106,LD-AI-G2-A2-A9-10-D,4192
7316,395106,LD-AI-G2-A2-A9-10-D,4192
7316,395106,LD-AI-G2-A2-A9-10-D,4192
193376,395106,LD-AI-G2-A2-A9-10-D,4192
3385,395106,LD-AI-G2-A2-A9-12-A,4201
2925,395106,LD-AI-G2-A2-A9-12-D,4204
20536,395106,LD-AI-G2-A2-A9-13-C,4209
152783,395106,LD-AI-G2-A2-A9-14-B,4214
263787,395106,LD-AI-G2-A2-A9-14-C,4215
35191,395106,LD-AI-G2-A2-A9-15-B,4220
90,395106,LD-AI-G2-A2-A9-15-C,4221
248861,395106,LD-AI-G2-A2-A9-15-D,4222
12403,395106,LD-AI-G2-A2-A9-15-F,4224
152783,395106,LD-AI-G2-A2-A9-15-F,4224
2331,395106,LD-AI-G2-A2-A9-16-B,4226
12116,395106,LD-AI-G2-A2-A9-16-D,4228
48894,395106,LD-AI-G2-A2-A9-16-F,4230
48894,395106,LD-AI-G2-A2-A9-16-F,4230
98100,395106,LD-AJ-G2-A2-A10-15-A,4231
9429,395106,LD-AJ-G2-A2-A10-15-C,4233
35191,395106,LD-AJ-G2-A2-A10-15-D,4234
3382,395106,LD-AJ-G2-A2-A10-15-D,4234
6860,395106,LD-AJ-G2-A2-A10-16-A,4237
174123,395106,LD-AJ-G2-A2-A10-16-B,4238
9506,395106,LD-AJ-G2-A2-A10-16-B,4238
98100,395106,LD-AJ-G2-A2-A10-16-C,4239
23726,395106,LD-AJ-G2-A2-A10-16-C,4239
98100,395106,LD-AJ-G2-A2-A10-16-C,4239
82781,395106,LD-AJ-G2-A2-A10-16-D,4240
187811,395106,LD-AJ-G2-A2-A10-16-D,4240
20745,395106,LD-AJ-G2-A2-A10-13-A,4243
20745,395106,LD-AJ-G2-A2-A10-13-A,4243
124132,395106,LD-AJ-G2-A2-A10-13-D,4246
12403,395106,LD-AJ-G2-A2-A10-14-A,4249
9429,395106,LD-AJ-G2-A2-A10-14-C,4251
5388,395106,LD-AJ-G2-A2-A10-14-E,4253
80863,395106,LD-AJ-G2-A2-A10-11-A,4255
129832,395106,LD-AJ-G2-A2-A10-11-E,4259
5440,395106,LD-AJ-G2-A2-A10-11-E,4259
3970,395106,LD-AJ-G2-A2-A10-11-E,4259
208667,395106,LD-AJ-G2-A2-A10-11-F,4260
90,395106,LD-AJ-G2-A2-A10-09-B,4268
1926,395106,LD-AJ-G2-A2-A10-09-C,4269
8003,395106,LD-AJ-G2-A2-A10-09-E,4271
1599,395106,LD-AJ-G2-A2-A10-09-F,4272
8003,395106,LD-AJ-G2-A2-A10-10-B,4274
212434,395106,LD-AJ-G2-A2-A10-10-F,4278
212434,395106,LD-AJ-G2-A2-A10-10-F,4278
129484,395106,LD-AJ-G2-A2-A10-07-A,4279
4626,395106,LD-AJ-G2-A2-A10-07-C,4281
2331,395106,LD-AJ-G2-A2-A10-07-C,4281
7294,395106,LD-AJ-G2-A2-A10-07-E,4283
6992,395106,LD-AJ-G2-A2-A10-07-F,4284
9538,395106,LD-AJ-G2-A2-A10-05-A,4285
14294,395106,LD-AJ-G2-A2-A10-05-B,4286
20536,395106,LD-AJ-G2-A2-A10-05-B,4286
212434,395106,LD-AJ-G2-A2-A10-05-E,4289
5073,395106,LD-AJ-G2-A2-A10-05-F,4290
10447,395106,LD-AJ-G2-A2-A10-03-B,4292
14598,395106,LD-AJ-G2-A2-A10-03-C,4293
159091,395106,LD-AJ-G2-A2-A10-03-F,4296
9429,395106,LD-AJ-G2-A2-A10-03-F,4296
159390,395106,LD-AJ-G2-A2-A10-01-B,4298
1785,395106,LD-AJ-G2-A2-A10-01-B,4298
3618,395106,LD-AJ-G2-A2-A10-01-D,4300
3618,395106,LD-AJ-G2-A2-A10-01-E,4301
105949,395106,LD-AJ-G2-A2-A10-02-E,4307
630,395106,LD-AK-G2-A2-A11-01-C,4311
3618,395106,LD-AK-G2-A2-A11-01-F,4314
3618,395106,LD-AK-G2-A2-A11-01-F,4314
16349,395106,LD-AK-G2-A2-A11-02-A,4315
22743,395106,LD-AK-G2-A2-A11-02-A,4315
1927,395106,LD-AK-G2-A2-A11-02-A,4315
1927,395106,LD-AK-G2-A2-A11-02-A,4315
68313,395106,LD-AK-G2-A2-A11-02-B,4316
68313,395106,LD-AK-G2-A2-A11-02-B,4316
1927,395106,LD-AK-G2-A2-A11-02-B,4316
21899,395106,LD-AK-G2-A2-A11-02-B,4316
1926,395106,LD-AK-G2-A2-A11-02-D,4318
170123,395106,LD-AK-G2-A2-A11-02-D,4318
4626,395106,LD-AK-G2-A2-A11-02-E,4319
214956,395106,LD-AK-G2-A2-A11-02-E,4319
374,395106,LD-AK-G2-A2-A11-04-A,4321
5442,395106,LD-AK-G2-A2-A11-04-C,4323
68313,395106,LD-AK-G2-A2-A11-04-F,4326
150273,395106,LD-AK-G2-A2-A11-08-D,4336
21656,395106,LD-AK-G2-A2-A11-09-E,4343
77127,395106,LD-AK-G2-A2-A11-09-F,4344
