SKU,Store,Bin,Bin Rank
1039,397205,LD-AN-G2-C2-C14-11-C,22618
182,397205,LD-AN-G2-C2-C14-11-F,22621
20709,397205,LD-AN-G2-C2-C14-14-A,22622
17555,397205,LD-AN-G2-C2-C14-14-E,22626
1149,397205,LD-AN-G2-C2-C14-16-B,22635
24,397205,LD-AM-G2-C2-C15-03-A,22661
24,397205,LD-AM-G2-C2-C15-03-E,22665
4171,397205,LD-AM-C2-C15-04-B1,22670
945,397205,LD-AM-C2-C15-04-B2,22671
5376,397205,LD-AM-C2-C15-06-D1,22697
945,397205,LD-AM-C2-C15-06-D3,22699
131984,397205,LD-AM-G2-C2-C15-15-A,22787
1804,397205,LD-AM-C2-C15-16-B1,22796
3782,397205,LD-AM-C2-C15-16-B2,22797
49090,397205,LD-AM-C2-C15-16-C1,22799
4651,397205,LD-AN-C2-C16-14-C3,22861
3782,397205,LD-AN-C2-C16-11-C3,22876
4651,397205,LD-AN-C2-C16-09-C1,22904
945,397205,LD-AN-C2-C16-07-B1,22931
5747,397205,LD-AN-C2-C16-07-C3,22936
2330,397205,LD-AN-C2-C16-08-D3,22954
3782,397205,LD-AN-C2-C16-03-A1,22988
78,397205,LD-AN-C2-C16-03-B3,22993
776,397205,LD-AN-C2-C16-03-C3,22996
4443,397205,LD-AN-C2-C16-01-A1,23003
5372,397205,LD-AO-C2-C17-05-B2,23052
52,397205,LD-AO-C2-C17-05-D1,23057
25138,397205,LD-AO-C2-C17-07-B1,23081
226927,397205,LD-AO-C2-C17-09-B3,23113
9170,397205,LD-AO-C2-C17-09-D3,23119
2864,397205,LD-AO-C2-C17-13-B3,23173
52,397205,LD-AO-C2-C17-16-B1,23216
1449,397205,LD-AO-C2-C17-16-C2,23220
89,397205,LD-AP-C2-C18-08-B2,23367
4651,397205,LD-AP-C2-C18-03-D3,23419
17245,397205,LD-AP-C2-C18-01-B1,23441
89,397205,LD-AQ-C2-C19-01-A3,23470
89,397205,LD-AQ-C2-C19-02-C1,23489
464,397205,LD-AQ-C2-C19-05-B1,23531
17668,397205,LD-AR-C2-C20-02-B1,23936
1478,397205,LD-AS-C2-C21-01-C1,23954
1013,397205,LD-AS-C2-C21-01-E1,23960
1478,398693,LD-AA-G2-C2-C1-02-C,21526
182,398693,LD-AA-G2-C2-C1-02-C,21526
67504,398693,LD-AA-G2-C2-C1-04-C,21532
17668,398693,LD-AA-G2-C2-C1-08-F,21547
17668,398693,LD-AA-G2-C2-C1-08-F,21547
2312,398693,LD-AA-G2-C2-C1-08-F,21547
131984,398693,LD-AB-G2-C2-C2-01-C,21556
4107,398693,LD-AB-G2-C2-C2-01-F,21559
1039,398693,LD-AB-G2-C2-C2-03-E,21564
344,398693,LD-AB-G2-C2-C2-06-D,21569
21602,398693,LD-AB-G2-C2-C2-05-D,21575
21602,398693,LD-AB-G2-C2-C2-05-F,21577
4332,398693,LD-AB-G2-C2-C2-08-A,21578
4089,398693,LD-AB-G2-C2-C2-07-C,21586
2351,398693,LD-AB-G2-C2-C2-07-E,21588
3265,398693,LD-AB-G2-C2-C2-07-E,21588
1039,398693,LD-AB-G2-C2-C2-10-A,21590
