SKU,Store,Bin,Bin Rank
135771,398939,LD-AG-G3-C3-C7-15-E,24510
12947,398939,LD-AG-G3-C3-C7-16-A,24512
2726,398939,LD-AG-G3-C3-C7-16-B,24513
2322,398939,LD-AG-G3-C3-C7-13-B,24519
12247,398939,LD-AG-G3-C3-C7-13-C,24520
21138,398939,LD-AG-G3-C3-C7-13-E,24522
2645,398939,LD-AG-G3-C3-C7-13-F,24523
5900,398939,LD-AG-G3-C3-C7-13-F,24523
172931,398939,LD-AG-G3-C3-C7-14-B,24525
2726,398939,LD-AG-G3-C3-C7-14-E,24528
2645,398939,LD-AG-G3-C3-C7-11-A,24530
1694,398939,LD-AG-G3-C3-C7-11-B,24531
83091,398939,LD-AG-G3-C3-C7-11-D,24533
188841,398939,LD-AG-G3-C3-C7-12-C,24538
188841,398939,LD-AG-G3-C3-C7-12-C,24538
8628,398939,LD-AG-G3-C3-C7-12-C,24538
8628,398939,LD-AG-G3-C3-C7-12-C,24538
924,398939,LD-AG-G3-C3-C7-12-E,24540
184381,398939,LD-AG-G3-C3-C7-10-C,24550
19882,398939,LD-AG-G3-C3-C7-07-A,24554
19882,398939,LD-AG-G3-C3-C7-07-A,24554
261835,398939,LD-AG-G3-C3-C7-07-B,24555
2726,398939,LD-AG-G3-C3-C7-08-A,24560
1695,398939,LD-AG-G3-C3-C7-08-A,24560
12137,398939,LD-AG-G3-C3-C7-08-C,24562
1959,398939,LD-AG-G3-C3-C7-08-C,24562
1057,398939,LD-AG-G3-C3-C7-05-E,24570
1057,398939,LD-AG-G3-C3-C7-05-E,24570
1057,398939,LD-AG-G3-C3-C7-05-E,24570
60549,398939,LD-AG-G3-C3-C7-05-E,24570
60549,398939,LD-AG-G3-C3-C7-05-E,24570
19882,398939,LD-AG-G3-C3-C7-05-F,24571
4736,398939,LD-AG-G3-C3-C7-06-E,24576
19882,398939,LD-AG-G3-C3-C7-03-A,24578
2630,398939,LD-AG-G3-C3-C7-03-B,24579
2535,398939,LD-AG-G3-C3-C7-04-A,24584
2599,398939,LD-AG-G3-C3-C7-04-B,24585
12319,398939,LD-AG-G3-C3-C7-01-B,24591
2727,398939,LD-AG-G3-C3-C7-02-D,24599
69469,398939,LD-AG-G3-C3-C7-02-D,24599
391,398939,LD-AG-G3-C3-C7-02-E,24600
1789,398939,LD-AG-G3-C3-C7-02-E,24600
1789,398939,LD-AG-G3-C3-C7-02-E,24600
270048,400263,LD-AA-G3-C3-C1-02-D,24071
6857,400263,LD-AA-G3-C3-C1-08-B,24087
1836,400263,LD-AB-G3-C3-C2-01-F,24103
2726,400263,LD-AB-G3-C3-C2-03-E,24108
1959,400263,LD-AB-G3-C3-C2-03-E,24108
2861,400263,LD-AB-G3-C3-C2-05-A,24110
6857,400263,LD-AB-G3-C3-C2-05-E,24114
72072,400263,LD-AB-G3-C3-C2-06-A,24116
249908,400263,LD-AB-G3-C3-C2-09-A,24128
201165,400263,LD-AB-G3-C3-C2-09-E,24132
42,400263,LD-AB-G3-C3-C2-08-C,24136
41,400263,LD-AB-G3-C3-C2-08-D,24137
41,400263,LD-AB-G3-C3-C2-08-D,24137
24883,400263,LD-AC-G3-C3-C3-16-A,24152
393,400263,LD-AC-G3-C3-C3-14-E,24168
142912,400263,LD-AC-G3-C3-C3-12-A,24176
224778,400263,LD-AC-G3-C3-C3-12-C,24178
639,400263,LD-AC-G3-C3-C3-09-D,24185
4736,400263,LD-AC-G3-C3-C3-07-C,24196
924,400263,LD-AC-G3-C3-C3-07-E,24198
1057,400263,LD-AC-G3-C3-C3-08-B,24201
17275,400263,LD-AC-G3-C3-C3-08-C,24202
