SKU,Store,Bin,Bin Rank
2726,400263,LD-AF-G3-C3-C6-12-E,24480
924,400263,LD-AF-G3-C3-C6-12-E,24480
19882,400263,LD-AF-G3-C3-C6-13-A,24482
2727,400263,LD-AF-G3-C3-C6-13-C,24484
12247,400263,LD-AF-G3-C3-C6-14-A,24488
7645,400263,LD-AF-G3-C3-C6-15-B,24495
2645,400263,LD-AF-G3-C3-C6-16-A,24500
22576,400263,LD-AF-G3-C3-C6-16-F,24505
1959,400263,LD-AF-G3-C3-C6-16-F,24505
171776,400263,LD-AG-G3-C3-C7-16-B,24513
171776,400263,LD-AG-G3-C3-C7-16-B,24513
266833,400263,LD-AG-G3-C3-C7-16-C,24514
2861,400263,LD-AG-G3-C3-C7-13-F,24523
32483,400263,LD-AG-G3-C3-C7-14-A,24524
32483,400263,LD-AG-G3-C3-C7-14-A,24524
4736,400263,LD-AG-G3-C3-C7-14-E,24528
19882,400263,LD-AG-G3-C3-C7-05-F,24571
180298,400263,LD-AG-G3-C3-C7-06-C,24574
132155,400317,LD-AA-G3-C3-C1-10-A,24092
17263,400317,LD-AA-G3-C3-C1-10-D,24095
7126,400317,LD-AB-G3-C3-C2-06-A,24116
201165,400317,LD-AB-G3-C3-C2-09-E,24132
87814,400317,LD-AC-G3-C3-C3-08-C,24202
15881,400317,LD-AC-G3-C3-C3-05-B,24207
1836,400317,LD-AC-G3-C3-C3-06-E,24216
1836,400317,LD-AC-G3-C3-C3-02-A,24224
21894,400317,LD-AD-G3-C3-C4-04-F,24247
1019,400317,LD-AD-G3-C3-C4-05-C,24250
66504,400317,LD-AD-G3-C3-C4-08-C,24268
7181,400317,LD-AE-G3-C3-C5-13-E,24336
136763,400317,LD-AE-G3-C3-C5-11-C,24346
3969,400317,LD-AE-G3-C3-C5-09-D,24359
26419,400317,LD-AE-G3-C3-C5-08-D,24377
5694,400317,LD-AE-G3-C3-C5-05-D,24383
188841,400317,LD-AE-G3-C3-C5-06-D,24389
6857,400317,LD-AE-G3-C3-C5-03-B,24393
1836,400317,LD-AE-G3-C3-C5-04-B,24399
1836,400317,LD-AE-G3-C3-C5-04-B,24399
44542,400317,LD-AE-G3-C3-C5-02-D,24407
44542,400317,LD-AE-G3-C3-C5-02-D,24407
1836,400317,LD-AE-G3-C3-C5-02-D,24407
39827,400317,LD-AF-G3-C3-C6-03-F,24427
13258,400317,LD-AF-G3-C3-C6-10-C,24466
13258,400317,LD-AF-G3-C3-C6-10-C,24466
393,400317,LD-AF-G3-C3-C6-10-D,24467
213452,400317,LD-AF-G3-C3-C6-11-C,24472
639,400317,LD-AF-G3-C3-C6-12-B,24477
22576,400317,LD-AF-G3-C3-C6-13-D,24485
12247,400317,LD-AF-G3-C3-C6-14-A,24488
924,400317,LD-AF-G3-C3-C6-14-D,24491
22576,400317,LD-AF-G3-C3-C6-16-F,24505
1057,400317,LD-AG-G3-C3-C7-15-C,24508
266833,400317,LD-AG-G3-C3-C7-16-C,24514
266833,400317,LD-AG-G3-C3-C7-16-D,24515
69469,400317,LD-AG-G3-C3-C7-02-D,24599
1225,400317,LD-AG-G3-C3-C7-02-E,24600
852,400356,LD-AA-G3-C3-C1-02-A,24068
1959,400356,LD-AB-G3-C3-C2-01-D,24101
1959,400356,LD-AB-G3-C3-C2-01-D,24101
1695,400356,LD-AB-G3-C3-C2-01-F,24103
1959,400356,LD-AB-G3-C3-C2-03-E,24108
982,400356,LD-AB-G3-C3-C2-06-A,24116
7645,400356,LD-AB-G3-C3-C2-06-A,24116
249908,400356,LD-AB-G3-C3-C2-09-A,24128
201165,400356,LD-AB-G3-C3-C2-09-E,24132
42,400356,LD-AB-G3-C3-C2-08-C,24136
1020,400356,LD-AC-G3-C3-C3-14-E,24168
142912,400356,LD-AC-G3-C3-C3-12-A,24176
103739,400356,LD-AC-G3-C3-C3-09-B,24183
5900,400356,LD-AC-G3-C3-C3-09-C,24184
924,400356,LD-AC-G3-C3-C3-08-A,24200
1019,400356,LD-AC-G3-C3-C3-05-A,24206
77101,400356,LD-AC-G3-C3-C3-06-E,24216
