SKU,Store,Bin,Bin Rank
2158,394957,LD-AC-G1-B1-B3-16-B,12176
6,394957,LD-AC-G1-B1-B3-18-A,12177
1147,394957,LD-AC-G1-B1-B3-18-F,12180
1815,394957,LD-AC-G1-B1-B3-18-B,12182
176752,394957,LD-AC-G1-B1-B3-13-B,12183
176752,394957,LD-AC-G1-B1-B3-13-B,12183
18668,394957,LD-AC-G1-B1-B3-13-D,12184
219945,394957,LD-AC-G1-B1-B3-13-D,12184
2499,394957,LD-AC-G1-B1-B3-11-E,12192
450,394957,LD-AC-G1-B1-B3-11-E,12192
98145,394957,LD-AC-G1-B1-B3-11-C,12193
2368,394957,LD-AC-G1-B1-B3-11-A,12194
2159,394957,LD-AC-G1-B1-B3-09-B,12195
13370,394957,LD-AC-G1-B1-B3-09-B,12195
265539,394957,LD-AC-G1-B1-B3-09-D,12196
2364,394957,LD-AC-G1-B1-B3-09-F,12197
7610,394957,LD-AC-G1-B1-B3-09-E,12198
95,394957,LD-AC-G1-B1-B3-09-C,12199
95,394957,LD-AC-G1-B1-B3-09-C,12199
95,394957,LD-AC-G1-B1-B3-09-C,12199
198728,394957,LD-AC-G1-B1-B3-09-C,12199
11161,394957,LD-AC-G1-B1-B3-09-A,12200
431,394957,LD-AC-G1-B1-B3-07-B,12201
208110,394957,LD-AC-G1-B1-B3-07-D,12202
208110,394957,LD-AC-G1-B1-B3-07-D,12202
208110,394957,LD-AC-G1-B1-B3-07-D,12202
9339,394957,LD-AC-G1-B1-B3-07-D,12202
9339,394957,LD-AC-G1-B1-B3-07-D,12202
9339,394957,LD-AC-G1-B1-B3-07-D,12202
219370,394957,LD-AC-G1-B1-B3-07-E,12204
219370,394957,LD-AC-G1-B1-B3-07-E,12204
12408,394957,LD-AC-G1-B1-B3-07-E,12204
5872,394957,LD-AC-G1-B1-B3-07-E,12204
5872,394957,LD-AC-G1-B1-B3-07-E,12204
431,394957,LD-AC-G1-B1-B3-07-C,12205
13542,394957,LD-AC-G1-B1-B3-07-A,12206
6,394957,LD-AC-G1-B1-B3-07-A,12206
2515,394957,LD-AC-G1-B1-B3-07-A,12206
221620,394957,LD-AC-G1-B1-B3-07-A,12206
180394,394957,LD-AC-G1-B1-B3-07-A,12206
180394,394957,LD-AC-G1-B1-B3-07-A,12206
180394,394957,LD-AC-G1-B1-B3-07-A,12206
1581,394957,LD-AB-G1-B1-B2-08-D,12208
1581,394957,LD-AB-G1-B1-B2-08-D,12208
15596,394957,LD-AB-G1-B1-B2-08-D,12208
170212,394957,LD-AB-G1-B1-B2-08-E,12210
215285,394957,LD-AB-G1-B1-B2-08-E,12210
184158,394957,LD-AB-G1-B1-B2-08-C,12211
18290,394957,LD-AB-G1-B1-B2-08-C,12211
199589,394957,LD-AB-G1-B1-B2-08-C,12211
199589,394957,LD-AB-G1-B1-B2-08-C,12211
752,394957,LD-AB-G1-B1-B2-10-D,12214
752,394957,LD-AB-G1-B1-B2-10-D,12214
17300,394957,LD-AB-G1-B1-B2-10-F,12215
8667,394957,LD-AB-G1-B1-B2-10-E,12216
