SKU,Store,Bin,Bin Rank
211017,401371,LD-AG-G3-B3-B7-03-C,17536
229648,401371,LD-AG-G3-B3-B7-04-A,17540
263643,401371,LD-AG-G3-B3-B7-04-B,17541
12848,401371,LD-AG-G3-B3-B7-03-B,17546
19151,401371,LD-AG-G3-B3-B7-03-B,17546
6108,401371,LD-AG-G3-B3-B7-03-B,17546
2428,401371,LD-AG-G3-B3-B7-06-B,17553
207914,401371,LD-AG-G3-B3-B7-06-F,17555
23721,401371,LD-AG-G3-B3-B7-05-D,17557
3241,401371,LD-AG-G3-B3-B7-05-D,17557
8974,401371,LD-AG-G3-B3-B7-05-D,17557
12844,401371,LD-AG-G3-B3-B7-05-D,17557
12844,401371,LD-AG-G3-B3-B7-05-D,17557
232087,401371,LD-AG-G3-B3-B7-08-E,17562
17882,401371,LD-AG-G3-B3-B7-08-C,17563
8272,401371,LD-AG-G3-B3-B7-08-D,17566
12848,401371,LD-AG-G3-B3-B7-07-B,17570
231558,401371,LD-AG-G3-B3-B7-09-C,17572
4076,401371,LD-AG-G3-B3-B7-10-E,17574
4076,401371,LD-AG-G3-B3-B7-10-E,17574
4076,401371,LD-AG-G3-B3-B7-10-E,17574
26427,401371,LD-AG-G3-B3-B7-10-B,17577
11990,401371,LD-AG-G3-B3-B7-10-D,17578
23058,401371,LD-AG-G3-B3-B7-09-F,17580
214169,401371,LD-AG-G3-B3-B7-09-D,17581
19929,401371,LD-AG-G3-B3-B7-09-B,17582
8354,401371,LD-AG-G3-B3-B7-11-A,17583
11679,401371,LD-AG-G3-B3-B7-11-E,17585
12093,401371,LD-AG-G3-B3-B7-12-E,17586
63116,401371,LD-AG-G3-B3-B7-11-F,17592
4141,401371,LD-AG-G3-B3-B7-11-B,17594
170361,401371,LD-AG-G3-B3-B7-13-C,17596
11632,401371,LD-AG-G3-B3-B7-14-D,17602
18414,401371,LD-AG-G3-B3-B7-13-F,17604
101672,401371,LD-AG-G3-B3-B7-15-F,17616
4076,401371,LD-AG-G3-B3-B7-15-F,17616
21359,401371,LD-AG-G3-B3-B7-17-C,17620
19756,401371,LD-AG-G3-B3-B7-17-E,17621
56426,401371,LD-AG-G3-B3-B7-17-E,17621
218110,401371,LD-AG-G3-B3-B7-18-E,17622
5901,401371,LD-AG-G3-B3-B7-18-C,17623
7870,401371,LD-AG-G3-B3-B7-17-B,17630
25484,401371,LD-AF-G3-B3-B6-17-B,17631
15474,401371,LD-AF-G3-B3-B6-17-F,17633
220086,401371,LD-AF-G3-B3-B6-18-F,17634
14154,401371,LD-AF-G3-B3-B6-18-D,17635
58227,401371,LD-AF-G3-B3-B6-18-B,17636
14101,401371,LD-AF-G3-B3-B6-18-A,17637
183315,401371,LD-AF-G3-B3-B6-18-A,17637
21801,401371,LD-AF-G3-B3-B6-18-A,17637
21135,401371,LD-AF-G3-B3-B6-18-A,17637
238811,401371,LD-AF-G3-B3-B6-17-E,17640
2792,401371,LD-AF-G3-B3-B6-15-D,17644
23356,401371,LD-AF-G3-B3-B6-15-C,17653
8971,401371,LD-AF-G3-B3-B6-13-D,17656
19802,401371,LD-AF-G3-B3-B6-14-F,17658
200959,401371,LD-AF-G3-B3-B6-14-C,17662
12742,401371,LD-AF-G3-B3-B6-11-B,17667
27237,401371,LD-AF-G3-B3-B6-11-B,17667
263827,401371,LD-AF-G3-B3-B6-11-D,17668
92192,401371,LD-AF-G3-B3-B6-12-D,17671
12645,401371,LD-AF-G3-B3-B6-12-D,17671
24689,401371,LD-AF-G3-B3-B6-12-A,17673
125419,401371,LD-AF-G3-B3-B6-10-B,17684
17538,401371,LD-AF-G3-B3-B6-10-A,17685
91634,401371,LD-AF-G3-B3-B6-09-C,17689
3241,401371,LD-AF-G3-B3-B6-07-B,17691
26429,401371,LD-AF-G3-B3-B6-07-D,17692
207711,401371,LD-AF-G3-B3-B6-08-B,17696
207711,401371,LD-AF-G3-B3-B6-08-B,17696
7065,401371,LD-AF-G3-B3-B6-08-B,17696
221937,401371,LD-AF-G3-B3-B6-08-B,17696
152992,401371,LD-AF-G3-B3-B6-08-C,17698
99069,401371,LD-AF-G3-B3-B6-07-C,17701
231840,401371,LD-AF-G3-B3-B6-05-D,17704
254839,401371,LD-AF-G3-B3-B6-06-D,17707
15004,401371,LD-AF-G3-B3-B6-06-B,17708
7294,401371,LD-AF-G3-B3-B6-06-B,17708
3877,401371,LD-AF-G3-B3-B6-06-A,17709
221246,401371,LD-AF-G3-B3-B6-06-E,17711
7662,401371,LD-AF-G3-B3-B6-05-C,17713
22162,401371,LD-AF-G3-B3-B6-05-C,17713
