SKU,Store,Bin,Bin Rank
7465,400907,LD-AL-G2-B2-B12-05-F,14183
7465,400907,LD-AL-G2-B2-B12-05-F,14183
25746,400907,LD-AL-G2-B2-B12-06-B,14186
15093,400907,LD-AL-G2-B2-B12-05-E,14190
10447,400907,LD-AL-G2-B2-B12-03-B,14193
3385,400907,LD-AL-G2-B2-B12-03-B,14193
723,400907,LD-AL-G2-B2-B12-03-B,14193
7466,400907,LD-AL-G2-B2-B12-03-F,14195
6134,400907,LD-AL-G2-B2-B12-04-A,14199
171532,400907,LD-AL-G2-B2-B12-04-E,14201
146313,400907,LD-AL-G2-B2-B12-04-E,14201
253742,400907,LD-AL-G2-B2-B12-01-B,14205
255929,400907,LD-AL-G2-B2-B12-01-D,14206
128168,400907,LD-AL-G2-B2-B12-01-F,14207
1786,400907,LD-AL-G2-B2-B12-01-F,14207
94234,400907,LD-AL-G2-B2-B12-02-F,14208
131524,400907,LD-AL-G2-B2-B12-02-A,14211
236402,400907,LD-AL-G2-B2-B12-02-A,14211
253742,400907,LD-AL-G2-B2-B12-02-C,14212
8688,400907,LD-AL-G2-B2-B12-02-C,14212
197,400907,LD-AL-G2-B2-B12-02-E,14213
269174,400907,LD-AL-G2-B2-B12-01-C,14215
223461,400907,LD-AK-G2-B2-B11-01-A,14217
5447,400907,LD-AK-G2-B2-B11-01-E,14219
89145,400907,LD-AK-G2-B2-B11-02-E,14220
124892,400907,LD-AK-G2-B2-B11-02-E,14220
27025,400907,LD-AK-G2-B2-B11-02-A,14222
17047,400907,LD-AK-G2-B2-B11-02-B,14223
13581,400907,LD-AK-G2-B2-B11-02-D,14224
140207,400907,LD-AK-G2-B2-B11-01-B,14228
91368,400907,LD-AK-G2-B2-B11-04-E,14232
5438,400907,LD-AK-G2-B2-B11-04-A,14234
181362,400907,LD-AK-G2-B2-B11-04-A,14234
34560,400907,LD-AK-G2-B2-B11-04-D,14236
206148,400907,LD-AK-G2-B2-B11-03-F,14238
86284,400907,LD-AK-G2-B2-B11-05-E,14243
6856,400907,LD-AK-G2-B2-B11-05-E,14243
68313,400907,LD-AK-G2-B2-B11-06-C,14245
5441,400907,LD-AK-G2-B2-B11-06-C,14245
7466,400907,LD-AK-G2-B2-B11-06-A,14246
77538,400907,LD-AK-G2-B2-B11-06-D,14248
1481,400907,LD-AK-G2-B2-B11-05-D,14251
42845,400907,LD-AK-G2-B2-B11-08-A,14258
101300,400907,LD-AK-G2-B2-B11-10-E,14268
89145,400907,LD-AK-G2-B2-B11-10-A,14270
7465,400907,LD-AK-G2-B2-B11-12-A,14282
6957,400907,LD-AK-G2-B2-B11-15-B,14312
187811,400907,LD-AK-G2-B2-B11-17-A,14313
187811,400907,LD-AK-G2-B2-B11-17-A,14313
7466,400907,LD-AK-G2-B2-B11-18-C,14317
8348,400907,LD-AK-G2-B2-B11-18-A,14318
20536,400907,LD-AK-G2-B2-B11-17-B,14324
244270,400907,LD-AJ-G2-B2-B10-18-C,14332
95052,400907,LD-AJ-G2-B2-B10-18-E,14333
14572,400907,LD-AJ-G2-B2-B10-13-B,14349
167569,400907,LD-AJ-G2-B2-B10-13-D,14350
942,400907,LD-AJ-G2-B2-B10-14-B,14354
14572,400907,LD-AJ-G2-B2-B10-14-B,14354
14572,400907,LD-AJ-G2-B2-B10-14-B,14354
178160,400907,LD-AJ-G2-B2-B10-13-C,14359
14572,400907,LD-AJ-G2-B2-B10-13-C,14359
14572,400907,LD-AJ-G2-B2-B10-13-C,14359
14572,400907,LD-AJ-G2-B2-B10-13-A,14360
215670,400907,LD-AJ-G2-B2-B10-11-D,14362
78859,400907,LD-AJ-G2-B2-B10-09-B,14373
4089,400907,LD-AJ-G2-B2-B10-09-D,14374
13581,400907,LD-AJ-G2-B2-B10-09-D,14374
193613,400907,LD-AJ-G2-B2-B10-09-D,14374
7466,400907,LD-AJ-G2-B2-B10-09-F,14375
7466,400907,LD-AJ-G2-B2-B10-09-E,14382
7466,400907,LD-AJ-G2-B2-B10-09-E,14382
4089,400907,LD-AJ-G2-B2-B10-09-C,14383
20825,400907,LD-AJ-G2-B2-B10-07-B,14385
145732,400907,LD-AJ-G2-B2-B10-05-D,14398
151597,400907,LD-AJ-G2-B2-B10-05-A,14408
150273,400907,LD-AJ-G2-B2-B10-05-A,14408
4088,400907,LD-AJ-G2-B2-B10-04-D,14410
17372,400907,LD-AJ-G2-B2-B10-04-A,14412
58826,400907,LD-AJ-G2-B2-B10-04-E,14414
266722,400907,LD-AJ-G2-B2-B10-02-A,14418
116971,400907,LD-AJ-G2-B2-B10-02-A,14418
2331,400907,LD-AJ-G2-B2-B10-02-A,14418
8549,400907,LD-AJ-G2-B2-B10-02-C,14419
188321,400907,LD-AI-G2-B2-B9-01-E,14423
116141,400907,LD-AI-G2-B2-B9-01-F,14424
116141,400907,LD-AI-G2-B2-B9-01-F,14424
80524,400907,LD-AI-G2-B2-B9-03-F,14430
18815,400907,LD-AI-G2-B2-B9-03-D,14431
