SKU,Store,Bin,Bin Rank
207040,400907,LD-AN-G3-A3-A14-05-B,7031
49185,400907,LD-AN-G3-A3-A14-05-D,7033
141987,400907,LD-AN-G3-A3-A14-06-D,7039
13079,400907,LD-AM-A3-A15-02-D3,7053
91570,400907,LD-AM-A3-A15-04-A3,7059
91570,400907,LD-AM-A3-A15-04-A3,7059
199865,400907,LD-AM-A3-A15-04-C3,7065
14790,400907,LD-AM-A3-A15-04-E1,7069
7317,400907,LD-AM-G3-A3-A15-05-A,7072
111106,400907,LD-AM-G3-A3-A15-05-B,7073
21444,400907,LD-AM-G3-A3-A15-05-F,7077
14182,400907,LD-AM-A3-A15-06-B1,7081
16724,400907,LD-AM-A3-A15-06-C1,7084
14929,400907,LD-AM-A3-A15-06-C2,7085
7530,400907,LD-AM-A3-A15-06-C3,7086
203908,400907,LD-AM-A3-A15-08-D3,7110
24334,400907,LD-AM-A3-A15-08-E2,7112
1319,400907,LD-AM-A3-A15-10-A1,7114
356,400907,LD-AM-G3-A3-A15-09-B,7116
435,400907,LD-AM-G3-A3-A15-09-C,7117
2622,400907,LD-AM-G3-A3-A15-09-D,7118
217292,400907,LD-AM-A3-A15-10-A3,7122
175120,400907,LD-AM-A3-A15-10-B1,7123
72561,400907,LD-AM-G3-A3-A15-11-C,7137
6989,400907,LD-AM-G3-A3-A15-11-D,7138
21632,400907,LD-AM-G3-A3-A15-11-E,7139
545,400907,LD-AM-A3-A15-12-B1,7144
232942,400907,LD-AM-G3-A3-A15-13-B,7157
148,400907,LD-AM-G3-A3-A15-15-A,7177
4701,400907,LD-AM-G3-A3-A15-15-E,7181
46533,400907,LD-AN-A3-A16-15-B2,7202
133746,400907,LD-AN-A3-A16-15-C2,7205
133746,400907,LD-AN-A3-A16-15-C2,7205
42009,400907,LD-AN-A3-A16-16-B1,7216
3204,400907,LD-AN-A3-A16-16-E2,7226
3917,400907,LD-AN-A3-A16-13-A1,7228
26933,400907,LD-AN-A3-A16-13-A2,7229
11400,400907,LD-AN-A3-A16-13-A2,7229
159880,400907,LD-AN-A3-A16-13-B3,7233
187723,400907,LD-AN-A3-A16-13-B3,7233
6751,400907,LD-AN-A3-A16-13-D2,7238
1122,400907,LD-AN-A3-A16-13-D3,7239
182927,400907,LD-AN-A3-A16-14-B1,7246
435,400907,LD-AN-A3-A16-12-A3,7275
13798,400907,LD-AN-A3-A16-12-C2,7280
16799,400907,LD-AN-A3-A16-12-D1,7282
2639,400907,LD-AN-A3-A16-10-A2,7304
81272,400907,LD-AN-A3-A16-07-B3,7323
503,400907,LD-AN-A3-A16-08-A3,7335
14472,400907,LD-AN-A3-A16-08-C2,7340
