SKU,Store,Bin,Bin Rank
4189,395059,LD-AF-G1-D1-D6-05-C,30547
4189,395059,LD-AF-G1-D1-D6-05-C,30547
4019,395059,LD-AF-G1-D1-D6-03-B,30549
680,395059,LD-AF-G1-D1-D6-03-F,30551
4227,395059,LD-AF-G1-D1-D6-04-F,30552
4227,395059,LD-AF-G1-D1-D6-04-F,30552
4650,395059,LD-AF-G1-D1-D6-04-D,30553
714,395059,LD-AF-G1-D1-D6-01-B,30561
10717,395059,LD-AF-G1-D1-D6-01-B,30561
709,395059,LD-AF-G1-D1-D6-02-C,30568
204750,395059,LD-AF-G1-D1-D6-02-C,30568
4211,395059,LD-AF-G1-D1-D6-02-E,30569
710,395059,LD-AF-G1-D1-D6-01-A,30572
7273,395059,LD-AE-G1-D1-D5-01-C,30574
1819,395059,LD-AE-G1-D1-D5-02-E,30576
20677,395059,LD-AE-G1-D1-D5-02-B,30579
20677,395059,LD-AE-G1-D1-D5-02-B,30579
4166,395059,LD-AE-G1-D1-D5-04-A,30590
4209,395059,LD-AE-G1-D1-D5-03-D,30595
988,395059,LD-AE-G1-D1-D5-06-C,30601
988,395059,LD-AE-G1-D1-D5-06-C,30601
4211,395059,LD-AE-G1-D1-D5-06-F,30605
1170,395059,LD-AE-G1-D1-D5-08-A,30614
4215,395059,LD-AE-G1-D1-D5-09-E,30623
4217,395059,LD-AE-G1-D1-D5-09-E,30623
4224,395059,LD-AE-G1-D1-D5-10-E,30624
4219,395059,LD-AE-G1-D1-D5-10-D,30628
4219,395059,LD-AE-G1-D1-D5-10-F,30629
39086,395059,LD-AE-G1-D1-D5-09-F,30630
20677,395059,LD-AE-G1-D1-D5-11-A,30633
25102,395059,LD-AE-G1-D1-D5-11-E,30635
4215,395059,LD-AE-G1-D1-D5-12-D,30640
4224,395059,LD-AE-G1-D1-D5-11-F,30642
4210,395059,LD-AE-G1-D1-D5-14-E,30648
4190,395059,LD-AE-G1-D1-D5-14-E,30648
1170,395059,LD-AE-G1-D1-D5-14-D,30652
503,395059,LD-AE-G1-D1-D5-16-F,30665
4210,395059,LD-AE-G1-D1-D5-17-E,30671
4190,395059,LD-AE-G1-D1-D5-18-E,30672
1878,395059,LD-AE-G1-D1-D5-18-D,30676
432,395059,LD-AE-G1-D1-D5-18-D,30676
4219,395059,LD-AE-G1-D1-D5-18-F,30677
4219,395059,LD-AE-G1-D1-D5-18-F,30677
13878,395059,LD-AD-G1-D1-D4-17-A,30692
709,395059,LD-AD-G1-D1-D4-16-D,30697
4207,395059,LD-AD-G1-D1-D4-13-D,30706
24380,395059,LD-AD-G1-D1-D4-14-D,30709
4208,395059,LD-AD-G1-D1-D4-13-C,30715
4215,395059,LD-AD-G1-D1-D4-11-D,30718
4215,395059,LD-AD-G1-D1-D4-11-C,30727
260081,395059,LD-AD-G1-D1-D4-09-E,30738
471,395059,LD-AD-G1-D1-D4-09-C,30739
20086,395059,LD-AD-G1-D1-D4-09-A,30740
136430,395059,LD-AD-G1-D1-D4-08-F,30744
8448,395059,LD-AD-G1-D1-D4-08-D,30745
4211,395059,LD-AD-G1-D1-D4-08-D,30745
397,395059,LD-AD-G1-D1-D4-08-A,30747
2051,395059,LD-AD-G1-D1-D4-08-A,30747
210362,395059,LD-AD-G1-D1-D4-07-E,30750
7876,395059,LD-AD-G1-D1-D4-07-E,30750
1818,395059,LD-AD-G1-D1-D4-07-A,30752
1818,395059,LD-AD-G1-D1-D4-07-A,30752
376,395059,LD-AD-G1-D1-D4-05-B,30753
988,395059,LD-AD-G1-D1-D4-05-F,30755
4210,395059,LD-AD-G1-D1-D4-06-D,30757
397,395059,LD-AD-G1-D1-D4-06-A,30759
761,395059,LD-AD-G1-D1-D4-06-C,30760
761,395059,LD-AD-G1-D1-D4-06-C,30760
26551,395059,LD-AD-G1-D1-D4-03-D,30766
26594,395059,LD-AD-G1-D1-D4-04-B,30770
22904,395059,LD-AD-G1-D1-D4-03-C,30775
375,395059,LD-AD-G1-D1-D4-02-F,30780
7519,395059,LD-AD-G1-D1-D4-02-D,30781
7519,395059,LD-AD-G1-D1-D4-02-D,30781
1238,395059,LD-AD-G1-D1-D4-01-A,30788
263583,395059,LD-AC-G1-D1-D3-01-C,30790
4045,395059,LD-AC-G1-D1-D3-01-E,30791
142375,395059,LD-AC-G1-D1-D3-02-E,30792
142375,395059,LD-AC-G1-D1-D3-02-E,30792
1067,395059,LD-AC-G1-D1-D3-02-A,30794
7274,395059,LD-AC-G1-D1-D3-02-B,30795
7274,395059,LD-AC-G1-D1-D3-02-B,30795
1133,395059,LD-AC-G1-D1-D3-01-D,30799
17894,395059,LD-AC-G1-D1-D3-01-B,30800
17894,395059,LD-AC-G1-D1-D3-01-B,30800
877,395059,LD-AC-G1-D1-D3-04-E,30804
4209,395059,LD-AC-G1-D1-D3-04-E,30804
10778,395059,LD-AC-G1-D1-D3-04-C,30805
14947,395059,LD-AC-G1-D1-D3-04-B,30807
4221,395059,LD-AC-G1-D1-D3-04-D,30808
6811,395059,LD-AC-G1-D1-D3-04-F,30809
1884,395059,LD-AC-G1-D1-D3-04-F,30809
4215,395059,LD-AC-G1-D1-D3-03-D,30811
15296,395059,LD-AC-G1-D1-D3-06-F,30821
710,395059,LD-AC-G1-D1-D3-05-F,30822
7298,395059,LD-AC-G1-D1-D3-07-E,30827
6813,395059,LD-AC-G1-D1-D3-08-C,30829
6813,395059,LD-AC-G1-D1-D3-08-C,30829
4189,395059,LD-AC-G1-D1-D3-08-C,30829
5840,395059,LD-AC-G1-D1-D3-10-B,30843
4208,395059,LD-AC-G1-D1-D3-10-F,30845
4252,395059,LD-AC-G1-D1-D3-12-D,30856
1671,395059,LD-AC-G1-D1-D3-11-F,30858
1671,395059,LD-AC-G1-D1-D3-11-F,30858
244289,395059,LD-AC-G1-D1-D3-14-E,30864
244289,395059,LD-AC-G1-D1-D3-14-E,30864
4654,395059,LD-AC-G1-D1-D3-16-C,30874
19040,395059,LD-AB-G1-D1-D2-17-B,30885
19040,395059,LD-AB-G1-D1-D2-17-B,30885
4190,395059,LD-AB-G1-D1-D2-17-C,30889
682,395059,LD-AB-G1-D1-D2-14-E,30905
682,395059,LD-AB-G1-D1-D2-14-E,30905
1249,395059,LD-AB-G1-D1-D2-05-B,30945
128,395059,LD-AB-G1-D1-D2-05-F,30947
1249,395059,LD-AB-G1-D1-D2-06-B,30950
79729,395059,LD-AB-G1-D1-D2-06-A,30951
4405,395059,LD-AB-G1-D1-D2-06-E,30953
133578,395059,LD-AB-G1-D1-D2-04-F,30960
11596,395059,LD-AB-G1-D1-D2-04-C,30964
133578,395059,LD-AB-G1-D1-D2-04-C,30964
647,395059,LD-AB-G1-D1-D2-04-C,30964
647,395059,LD-AB-G1-D1-D2-04-E,30965
877,395059,LD-AB-G1-D1-D2-02-E,30977
4405,395059,LD-AB-G1-D1-D2-01-C,30979
5983,395059,LD-AB-G1-D1-D2-01-C,30979
46261,395059,LD-AA-G1-D1-D1-02-A,30981
4218,395059,LD-AA-G1-D1-D1-04-D,30991
710,395059,LD-AA-G1-D1-D1-08-E,31001
858,395059,LD-AA-G1-D1-D1-08-F,31002
133578,395059,LD-AA-G1-D1-D1-08-D,31003
133578,395059,LD-AA-G1-D1-D1-08-D,31003
133578,395059,LD-AA-G1-D1-D1-08-D,31003
4191,395059,LD-AA-G1-D1-D1-08-B,31004
22960,395059,LD-AA-G1-D1-D1-10-C,31006
4212,395059,LD-AA-G1-D1-D1-10-F,31008
4223,395059,LD-AA-G1-D1-D1-10-D,31009
4654,395059,LD-AA-G1-D1-D1-12-D,31015
